"LOCATION","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","PUBLIC_EXP_PER_CAP_LAGGED","HEALTH_EXP_LAGGED","GDP_PER_CAP_LAGGED","OOP_PER_CAP_LAGGED","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT","OTHER_EXP_LAGGED"
"China",3.90875207020999,5.15878040413066,1.27066417376731,0.0904473741765601,3.14929837273223,0.29263716173795,7.40366024729923,0.129565739279031,31.9666666666667,1.96666666666667,3.78291706822813,4.54800001780192,75.1796867797838,89.1819872561891,3.94166668256124,5.28231,21.3239386944201,5.29277,NA,-0.501485733333333,0.0667587,-0.5992992,-0.232086233333333,-0.472547366666667,2.66666666666667,1.48453333333333,99.7,NA,0.00496842561719507,99,3.85333333333333,99.7883692423503,50.5006666666667,9562911.25,1369995676.53524,143.261360554322,103.883612300632,36.5550665318587,2.85666121099428
"Colombia",6.85788145225001,6.10219615167632,2.36709119588174,0.07492663944898,186.681637292767,14.861815793918,252.438743318597,2.90190932391385,42.4333333333333,2.56666666666667,2.95203281966079,10.278333346049,83.3520982575898,95.3017201947682,13.3136666615804,6.15367,12.2976755506876,5.88484333333333,3.87856333333333,-0.3538787,0.000864300000000001,-1.40788366666667,0.337796433333333,-0.3060968,11.0333333333333,1.6761,97.5666666666667,0.4,10.9988607159861,88,1.45,96.838257,78.3333333333333,1141749.32291667,44952188.0518961,39.3713288456901,-73.0777320869748,3.9272138627097,171.819821498849
"Costa Rica",5.20923472081781,2.98459810978624,1.8500420999095,0.0718431863678587,1199.70082499659,191.878359735114,3031.51857084854,61.7616290287632,37.0333333333333,0.666666666666667,5.0120716936495,9.03133344650267,96.0637131671716,98.4926437968672,11.150333404541,5.24841,38.5964912280702,5.14498,8.32105,0.658458733333333,0.382138566666667,0.612738566666667,0.4955204,0.498237566666667,3.86666666666667,2.37853333333333,97.5333333333333,0.3,0.0261614531391022,88,1.2,99.2437933333333,72.85,51100,4427387.88198676,86.6416415261597,-84.1754230960095,9.96567112746453,1007.82246526147
"Croatia",2.63300827288789,1.47495073538438,1.46379613018066,0.175907884113645,2571.69516661627,305.683123937651,4705.66103695935,46.313200210611,23.8333333333333,0.6,2.23845193895889,13.7443335851034,96.3907905451079,99.3460889867549,14.0026667912801,8.16965,23.7371769900013,7.96813,1.05609,0.0442682666666667,0.6300882,0.613034066666667,0.523306466666667,0.221815733333333,2.5,2.9039,99.9,0.1,NA,96.3333333333333,5.73333333333333,100,55.3276666666667,56590,4362058.96098112,77.0817982148987,16.5661897716455,45.0162339959311,2266.01204267862
"Cuba",2.32490317508497,2.64915361481871,1.69021931091715,0.128603975981192,2720.23096731498,203.147094651491,1685.67598345206,19.279325324921,NA,NA,NA,3.04666670163472,90.6423861464906,94.6476574974696,3.27699995040894,5.48818333333333,44.5344317091157,5.47113,4.48777,0.2734793,-0.380577,0.3123076,-1.61948733333333,-0.704757466666667,2.5,7.03406666666667,99.9,0.266666666666667,NA,97.3333333333333,5.43333333333333,99.9865366617839,76.689,109880,11466961.12684,104.358947277394,-78.9606849097026,21.6317515410252,2517.08387266349
"Cyprus",1.83261690813562,1.3710511059132,1.37375820460852,0.117858804545895,10839.3931502916,783.337333113579,28923.2396968307,802.244131620276,26.8,0,2.70284811236261,8.63800001144408,99.4633000443329,99.7315087859784,8.35599994659425,5.63435,11.3095238095238,5.58958333333333,3.23766333333333,1.03078983333333,1.49555666666667,0.565185133333333,1.26348766666667,1.12962966666667,6.26666666666667,2.23353333333333,98.5333333333333,NA,NA,99,3.5,100,67.406,9250,1144725.56739565,123.754115394125,33.0395538029541,34.9070608509434,10056.055817178
"Denmark",2.35233148666459,1.16941556160415,1.74002835803934,0.169171317371929,4729.29202236962,752.344856478484,7941.35604568874,116.827850221848,22.7666666666667,0,2.48917382896891,7.52100006739298,99.5972316467687,99.9999985532548,7.15833330154419,7.47425333333333,38.7337057728119,7.43323,1.00996333333333,2.38150033333333,2.060812,1.01872156666667,1.86278833333333,1.89804666666667,2.5,3.7754,98.4,NA,NA,91.6666666666667,3.3,100,86.9646666666667,43033.3333333333,5560319.17688196,129.209585829945,9.876372937675,56.0639344617945,3976.94716589114
"Dominican Republic",17.2566362570138,8.55628047578966,2.61366973495091,0.0629999829490345,599.792366825204,39.1210555146155,1139.43653044598,28.026015703245,36.6666666666667,0.666666666666667,6.16128151496046,6.00699996948242,81.7564937110431,94.7694652371353,8.23266665140788,4.97164333333333,20.7650273224044,4.70219666666667,7.09825,-0.838562433333333,-0.581495933333333,0.0689769666666667,-0.150663433333333,-0.756503533333333,10.8666666666667,1.5268,98.1333333333333,1.23333333333333,0.403704474159139,85.6666666666667,1.65,97.9704453333333,74.794,48670,9931037.14503035,204.048431169722,-70.4623584569753,18.8844870879823,560.671311310589
"Ecuador",7.9681437160406,7.54278403395481,2.65112083157654,0.0644239101909438,435.850969735377,30.4756217123517,648.545954169709,23.0752964519928,35.4,1.73333333333333,4.37687727107451,3.59366655349732,81.6702999076094,90.2419794198822,4.36066659291585,5.9852,32.258064516129,5.83758,12.07152,-0.686537233333333,-0.6009666,-0.614512833333333,-1.073202,-1.181354,17.8333333333333,1.88465,91.1333333333333,0.333333333333333,2.74247151578004,88.6666666666667,1.56666666666667,97.17659,62.843,256370,15208451.6734459,59.3222751236335,-78.3841667460837,-1.45477170554058,405.375348023025
"El Salvador",5.44386621165622,5.9546906425674,2.21174092609834,0.0734034683822661,997.956749071798,61.7220605887073,1076.13152941852,27.2397107233982,32.8666666666667,1.2,2.67933145045558,4.3443333307902,86.0265565164688,91.1108281480402,3.62633323669434,4.28869666666667,21.4285714285714,4.33640666666667,NA,-0.317188566666667,-0.0742190333333333,0.134809133333333,0.386631633333333,-0.7445122,10.9333333333333,1.596,98.8333333333333,0.7,0.0111111541781786,90,1.03333333333333,92.6118316666667,66.3213333333333,21040,6031666.78221271,286.676177861821,-88.8729031703238,13.7260916257942,936.234688483091
"Equatorial Guinea",18.1063682691741,20.7895538601916,4.62465688531916,0.0237226539883309,8395.32977975313,133.322155408095,31863.513984349,298.727214838362,NA,NA,5.41705839475229,6.73000001907348,64.6218790828926,61.6416227104663,6.61333338419596,NA,10,NA,NA,-1.48534266666667,-1.639677,0.2063918,-1.38608233333333,-1.28734866666667,NA,NA,68.3,5.86666666666667,346.712604085864,54,2.1,65.9330856323242,67.476,28050,1084716.89170679,38.6708339289409,10.366031325064,1.64586431996008,8262.00762434503
"Eritrea",19.7873712094285,28.8556427716292,4.78945059029675,0.0215570228129146,86.7310658943288,3.55239486459051,259.740776022098,4.32514012801944,NA,NA,NA,5.4160000483195,11.3706677215391,50.1523621044794,5.24400011698405,3.42892333333333,22,3.89110666666667,25.4515,-0.6546753,-1.40547366666667,-0.781398166666667,-2.23073766666667,-1.36233366666667,NA,NA,34.1,0.833333333333333,22.1112478380287,94.3333333333333,0.7,40.8807907104492,35.473,117600,5767355.31817966,49.0421370593509,38.6781869278648,15.4272767514129,83.1786710297383
"Estonia",1.17047138718324,1.58311427487846,1.59503421633071,0.175422286293437,8878.86117150864,1082.12313040422,18075.9931521593,233.978235848721,24.7666666666667,0.433333333333333,3.96244876922095,13.0186669031779,99.2817060622541,99.5728415748891,11.5876665115356,6.25863333333333,21.1221122112211,6.25968666666667,2.80561666666667,1.0479021,1.038992,0.636291166666667,1.39951366666667,1.16687133333333,2.5,3.27243333333333,99.3333333333333,NA,NA,93.6666666666667,5.33333333333333,100,68.011,45230,1328491.00583711,29.3718993110128,25.8247256130266,58.6436954266309,7796.73804110442
"Eswatini",16.9959197360382,31.1684523976015,3.42830359291095,0.0320993381291463,24185.7449297504,402.007792267903,6825.97411781445,59.5337553420177,NA,NA,6.51877029717609,26.2526664733887,55.8399829561262,63.811248033727,28.5429992675781,3.34601666666667,13.6363636363636,3.54355666666667,7.45596,-0.332519766666667,-0.584645866666667,-0.321166933333333,-0.596470433333333,-0.5055217,8.96666666666667,0.1017,82,27.9666666666667,1.52917960793685,91.6666666666667,2.1,NA,22.6763333333333,17360,1081260.01249907,62.284562931974,31.3952559020653,-26.48985528852,23783.7371374825
"Ethiopia",27.3522765286633,26.1322553725732,5.22701409066877,0.0269876483984171,102.524607756659,0.299317500358555,13.1103704285324,0.274482182772265,27.4,9.7,21.176770769084,2.30599999427795,5.94081213217516,34.3087955379468,3.02099998792013,2.02666333333333,27.7879341864717,2.18363666666667,41.13075,-0.650385266666667,-0.447220433333333,-1.56877866666667,-0.972681266666667,-0.739564333333333,30.2333333333333,0.022,10,1.33333333333333,120.239998544865,62.6666666666667,6.3,25.4656174977621,17.738,1104300,88106622.268716,79.7850423514589,39.5512557929377,8.65399918813258,102.2252902563
"Finland",1.19535139401805,1.05628522242082,1.81023038241667,0.182351066467734,4421.29057752799,563.004531901243,7398.33616784773,129.283387926012,22.5666666666667,0,2.46975966657145,7.95466677347819,99.4479605099616,100.000001501776,7.2653333346049,6.61510333333333,41.6666666666667,6.46207333333333,1.78042666666667,2.19788033333333,2.23031866666667,1.40594766666667,1.84154566666667,1.95657566666667,2.5,3.22426666666667,99.7666666666667,NA,NA,99,5.56666666666667,100,84.308,338420,5407364.14652577,15.9782641289692,26.2117646102964,64.5040940396365,3858.28604562674
"France",2.08501369936976,1.58850318209474,1.95369018345765,0.169747954808578,360.857409356531,55.7863995646419,580.435961601949,6.64931180073365,26.9666666666667,0,1.86563865736476,9.02733325958252,98.654712473965,99.9821259786521,9.18066660563151,7.45081666666667,21.5482380127094,7.4258,1.27565333333333,1.484854,1.37657466666667,0.6130073,1.201358,1.47363033333333,2.5,3.23676666666667,96.9333333333333,0.3,NA,99,6.56666666666667,100,78.623,549086.9921875,64117412.6658892,116.770955382594,-2.87669669927055,42.4607043266338,305.071009791889
"Gabon",16.2422251041667,14.8530423395302,3.40205402341063,0.0401073066007487,9158.95454770756,189.859305243029,10312.3514899794,69.4476531774593,NA,NA,1.79242646417836,20.4033330281576,44.3113050138994,84.2873683020332,28.9046662648519,NA,14.8704375882234,NA,NA,-0.8185406,-0.824002166666667,0.3258205,-0.561045466666667,-0.4826964,17.3666666666667,NA,89.3,4.1,212.026450870378,74.6666666666667,6.3,86.7390889485677,86.0863333333333,267670,1531793.97156976,5.72269575062488,11.687751174902,-0.647048139804029,8969.09524246453
"Georgia",5.93160122898229,4.7895762340324,1.92239422636636,0.143342285314449,8418.7182306283,68.0890673736175,1727.68403792613,111.410083510151,29.5333333333333,3.2,4.90315115164112,19.8293329874674,91.5001675389812,96.0079807667576,17.7440001169841,NA,8.36369406537607,NA,NA,0.175863066666667,0.489587233333333,-0.6852423,0.6505901,-0.116151966666667,4.4,4.47793333333333,99.7333333333333,0.133333333333333,0,92.6666666666667,2.76666666666667,99.7119903564453,55.919,69700,3938101.04699436,56.5007323815546,43.4815426540903,42.162015014153,8350.62916325468
