"LOCATION","INCOME_CLASS","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","TAX_PPP_LAGGED2","PUBLIC_EXP_LAGGED2","PROP_PUBLIC_HEALTH_EXP_LAGGED2","OOP_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT"
"Colombia","UM",6.85788145225001,6.10219615167632,2.19069705318825,0.080209307061206,16965148.3311652,23472862.4032556,4458840.06758604,0.000142420656043602,137.197326151503,41.4666666666667,2.2,2.69441427549248,9.12133312225342,85.4543623430073,96.0033402551595,11.7836666107178,5.99373666666667,14.7073141049045,5.75656666666667,4.90154333333333,-0.387094266666667,-0.00208206666666667,-1.26945866666667,0.433268033333333,-0.350553833333333,8.43333333333333,1.81216666666667,98.7666666666667,0.433333333333333,6.92021717083248,90.6666666666667,1.5,97.5341773333333,79.059,1141748.64583333,45401515.7061063,39.7648956027172,-73.0777320869748,3.9272138627097
"Congo, Rep.","LM",18.8533802797485,22.0632850927131,3.86702846879984,0.0302693929099883,303839.122616866,489544.87606575,163931.862110036,0.000200574381175379,12.8522758195382,32.7333333333333,6.1,3.51798115802982,9.99200026194255,17.7596338738776,69.0580518323574,10.7686665852865,3.41685,7.35294117647059,3.6815,14.87672,-1.181329,-1.14672666666667,-0.441343866666667,-1.30247933333333,-1.12148233333333,28.8,0.1591,92.5,3.2,229.168528188359,86.6666666666667,0.9,47.6587160746257,64.627,342000,4573950.85596958,13.3741253098526,15.1344617674135,-0.837801087225289
"Costa Rica","UM",5.20923472081781,2.98459810978624,1.74640932111174,0.0764828240566851,5629109.71040578,7207778.40303234,1009889.02772978,0.000746673883852884,231.974340925076,37.1,0.6,4.74866676412274,9.20366668701172,96.6862370981468,99.0408000178188,11.0900001525879,5.72991666666667,36.8421052631579,5.59019,7.00434,0.666534233333333,0.459676133333333,0.631246233333333,0.5566355,0.543952866666667,4.03333333333333,2.08076666666667,99.0033333333333,0.3,0.00121891685829055,92.3333333333333,1.13333333333333,99.4753686666667,74.9523333333333,51100,4504876.30297152,88.1580489818302,-84.1754230960095,9.96567112746453
"Croatia","UM",2.63300827288789,1.47495073538438,1.3807014629529,0.180331399243888,87089.5722601558,171437.799529457,38843.3522866825,0.0340114027940717,158.314093432234,23.8666666666667,0.533333333333333,1.80448646517841,16.8253335952759,96.4380761501422,99.5073981603534,17.0023333231608,8.12935333333333,23.841059602649,7.97691666666667,1.36188,0.117709,0.700280466666667,0.6228906,0.438808833333333,0.285647433333333,2.5,3.0389,99.9,0.1,0.570084402203377,95.6666666666667,5.89666666666667,100,55.7116666666667,56590,4338948.22299542,76.6734091358088,16.5661897716455,45.0162339959311
"Cyprus","H",1.83261690813562,1.3710511059132,1.33802034761829,0.122977346462204,22793.2255142991,50614.7674187956,8329.05671745217,0.113275185693551,913.606475267885,29.2333333333333,0.0333333333333333,0.211569189831887,14.5846665700277,99.35988069709,99.6722786048298,13.7236665089925,5.85773666666667,11.3095238095238,5.82992666666667,0.702013333333333,1.190891,1.29939333333333,0.5834518,1.04891543333333,1.07107633333333,6.6,2.40096666666667,98.6666666666667,0.9,10.0703427295078,99,3.45,100,67.143,9250,1189932.31879287,128.641331761391,33.0395538029541,34.9070608509434
"Denmark","H",2.35233148666459,1.16941556160415,1.73693703452658,0.178912376981574,373677.111204032,1206083.89401756,192320.303893859,0.0220518920560332,651.60280163325,23.4666666666667,0.133333333333333,1.25033572572466,7.03733348846435,99.5972325146817,100.00000071317,7.21266667048137,7.80387666666667,39.1061452513966,7.69901333333333,2.81141,2.34441333333333,1.93200966666667,0.941974633333333,1.76793966666667,1.95691233333333,2.5,3.84033333333333,96.8,0.1,0,94,3.1,100,87.2813333333333,42920,5612673.60422198,130.770587237232,9.876372937675,56.0639344617945
"El Salvador","LM",5.44386621165622,5.9546906425674,2.10685620943201,0.0766339911069275,3796.05945786893,6228.311117369,864.268001615766,0.442092520426052,154.082399756597,33,0.833333333333333,1.20958289190634,3.89666660626729,86.5387696026048,93.6182051443904,3.25899998346965,4.57936666666667,26.5873015873016,4.60845666666667,6.07189,-0.381163566666667,-0.0917122333333333,0.0587783666666667,0.319149933333333,-0.598026666666667,10.6333333333333,0.799733333333333,99,0.666666666666667,0.00655941504473572,92.6666666666667,1.16666666666667,94.616364,68.0323333333333,21040,6083765.75207485,289.152364642341,-88.8729031703238,13.7260916257942
"Equatorial Guinea","UM",18.1063682691741,20.7895538601916,3.90774235839074,0.0230716001160203,4571439.1627906,4488932.91324725,1733673.98881548,0.000094447184516878,330.320914791761,37.1,38.7,3.63849869689196,6.73133341471354,65.8560435729488,63.483960706272,6.60100015004476,4.78229666666667,15.3737373737374,3.4989,14.42826,-1.630112,-1.550789,-0.00702933333333333,-1.410882,-1.36457266666667,29.2333333333333,0.1321,88,6.3,361.481886477526,53.3333333333333,0.9,66.648671468099,69.5423333333333,28050,1169066.74834525,41.6779589427896,10.366031325064,1.64586431996008
"Estonia","H",1.17047138718324,1.58311427487846,1.5706954921133,0.180374489520484,17028.528698492,33088.9496003969,6037.3012054152,0.230045261779086,347.527447347125,26.0333333333333,0.5,2.20259710533268,8.66799990336101,99.1778261428242,99.6634220677524,8.02199983596802,6.28663,20.1947194719472,6.30118666666667,0.569873333333333,1.196085,0.981997766666667,0.721646166666667,1.51372866666667,1.242826,2.5,3.32346666666667,99.3666666666667,0.366666666666667,0.000220423567130466,93.6666666666667,5.25,100,68.1216666666667,45303.3333333333,1320357.58119124,29.1448218937071,25.8247256130266,58.6436954266309
"Ethiopia","L",27.3522765286633,26.1322553725732,4.74847583319869,0.0271725600868522,16135.6509218452,10792.0542606487,2346.12827918968,0.0126491282715328,22.1853873129032,39.2,11.2,12.5775412676498,2.24833329518636,6.405964188401,36.7260870604112,2.95633331934611,2.14043,27.7879341864717,2.25463,43.82947,-0.513930666666667,-0.485582766666667,-1.43698833333333,-1.07718466666667,-0.598820566666667,27.4,0.1844,19.3,1.23333333333333,94.9636789817718,60.6666666666667,1.7,28.5356449127197,18.5776666666667,1104300,92771086.7125669,84.0089529227265,39.5512557929377,8.65399918813258
